Distance r(in m),Azimuth(in deg),Elevation(in deg),x-axis,y-axis,z-axis,Rvec1,Rvec2,Rvec3,TimeStamp(UTC),TimeStamp(Datetime)
5.667455624455472,11.571897381020065,5.5480723067576045,1.1315512644329226,0.5479345746724212,5.526247614160152,-2.1962234131946965,2.211979792195688,-0.023146716579413206,1597536592.700355,2020-08-15 20:09:52.700355
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536592.764389,2020-08-15 20:09:52.764389
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536592.79239,2020-08-15 20:09:52.792390
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536592.824368,2020-08-15 20:09:52.824368
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536592.868386,2020-08-15 20:09:52.868386
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536592.900386,2020-08-15 20:09:52.900386
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536592.932354,2020-08-15 20:09:52.932354
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536592.968377,2020-08-15 20:09:52.968377
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536593.004356,2020-08-15 20:09:53.004356
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536593.032384,2020-08-15 20:09:53.032384
5.652356729341525,11.58015936902334,5.604339356106393,1.129223123944353,0.5519994026312958,5.510833729262431,-2.2395597731242627,2.2467484512155216,0.03924503675631023,1597536593.060392,2020-08-15 20:09:53.060392
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536593.092391,2020-08-15 20:09:53.092391
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536593.124354,2020-08-15 20:09:53.124354
5.652356729341525,11.58015936902334,5.604339356106393,1.129223123944353,0.5519994026312958,5.510833729262431,-2.2395597731242627,2.2467484512155216,0.03924503675631023,1597536593.156383,2020-08-15 20:09:53.156383
5.685603037571217,11.53701683772959,5.582905811970499,1.1317322348392655,0.5531294034804971,5.544304457050504,-2.226747613270113,2.2395747344119137,-0.017713137489769576,1597536593.188387,2020-08-15 20:09:53.188387
5.652356729341525,11.58015936902334,5.604339356106393,1.129223123944353,0.5519994026312958,5.510833729262431,-2.2395597731242627,2.2467484512155216,0.03924503675631023,1597536593.220389,2020-08-15 20:09:53.220389
5.662553457161297,11.52739070370978,5.617238881778859,1.1261502684583786,0.5542639523367855,5.5216925574682705,2.2118346082053413,-2.2093863760480503,-0.004617107231604816,1597536593.268354,2020-08-15 20:09:53.268354
5.64070864236497,11.618242314587095,5.566877159588064,1.1306234763965257,0.5471912687717093,5.499078673564501,-2.213785482970255,2.225184406955135,0.03217483990878592,1597536593.300383,2020-08-15 20:09:53.300383
5.685603037571217,11.53701683772959,5.582905811970499,1.1317322348392655,0.5531294034804971,5.544304457050504,-2.226747613270113,2.2395747344119137,-0.017713137489769576,1597536593.336379,2020-08-15 20:09:53.336379
5.685603037571217,11.53701683772959,5.582905811970499,1.1317322348392655,0.5531294034804971,5.544304457050504,-2.226747613270113,2.2395747344119137,-0.017713137489769576,1597536593.368387,2020-08-15 20:09:53.368387
5.699459397606508,11.475262191160063,5.599562420289225,1.1284672643784068,0.5561264548537936,5.558877802614768,2.2164661166235993,-2.2206983125292967,0.06383062510860983,1597536593.396384,2020-08-15 20:09:53.396384
5.685603037571217,11.53701683772959,5.582905811970499,1.1317322348392655,0.5531294034804971,5.544304457050504,-2.226747613270113,2.2395747344119137,-0.017713137489769576,1597536593.428394,2020-08-15 20:09:53.428394
5.685603037571217,11.53701683772959,5.582905811970499,1.1317322348392655,0.5531294034804971,5.544304457050504,-2.226747613270113,2.2395747344119137,-0.017713137489769576,1597536593.458159,2020-08-15 20:09:53.458159
5.652356729341525,11.58015936902334,5.604339356106393,1.129223123944353,0.5519994026312958,5.510833729262431,-2.2395597731242627,2.2467484512155216,0.03924503675631023,1597536593.490192,2020-08-15 20:09:53.490192
5.652356729341525,11.58015936902334,5.604339356106393,1.129223123944353,0.5519994026312958,5.510833729262431,-2.2395597731242627,2.2467484512155216,0.03924503675631023,1597536593.522187,2020-08-15 20:09:53.522187
5.64185934996005,11.573615496709804,5.581358406563204,1.1265419701095005,0.5487221075056659,5.500943933821539,2.2363252031544447,-2.2369832195638226,-0.009582122977853682,1597536593.554192,2020-08-15 20:09:53.554192
