Distance r(in m),Azimuth(in deg),Elevation(in deg),x-axis,y-axis,z-axis,Rvec1,Rvec2,Rvec3,TimeStamp(UTC),TimeStamp(Datetime)
6.530768063703241,-0.48529590867548944,9.15037742019386,-0.0546111001183915,1.0385631722522806,6.447428608900709,-2.0880024213859794,2.1869054390497187,0.1786353424189484,1597539539.212639,2020-08-15 20:58:59.212639
6.608289409234169,-0.48753664450856365,9.219234465769851,-0.05550369726607215,1.058730996628227,6.52269092726038,-2.1176770725529632,2.225302168803074,0.05225641022389402,1597539539.249864,2020-08-15 20:58:59.249864
6.608289409234169,-0.48753664450856365,9.219234465769851,-0.05550369726607215,1.058730996628227,6.52269092726038,-2.1176770725529632,2.225302168803074,0.05225641022389402,1597539539.277863,2020-08-15 20:58:59.277863
6.607405721445075,-0.28437662769389704,9.176997239240103,-0.0323747013187284,1.0537812118584844,6.522753054043491,2.138382792446276,-2.228927914899984,-0.3148457121813146,1597539539.317835,2020-08-15 20:58:59.317835
6.607405721445075,-0.28437662769389704,9.176997239240103,-0.0323747013187284,1.0537812118584844,6.522753054043491,2.138382792446276,-2.228927914899984,-0.3148457121813146,1597539539.345834,2020-08-15 20:58:59.345834
6.611260228056348,-0.23697336625852358,9.164642482809784,-0.026994814584897137,1.0529885760616864,6.526809951404191,-2.204384443659812,2.3067020663050855,0.3520412776272782,1597539539.377834,2020-08-15 20:58:59.377834
6.611260228056348,-0.23697336625852358,9.164642482809784,-0.026994814584897137,1.0529885760616864,6.526809951404191,-2.204384443659812,2.3067020663050855,0.3520412776272782,1597539539.405862,2020-08-15 20:58:59.405862
6.61657209533861,-0.5304584526536817,9.226569712158774,-0.06046443886730498,1.0608941175376732,6.53068710135618,-2.104793203975492,2.2184166748593666,-0.005766301223543763,1597539539.441863,2020-08-15 20:58:59.441863
6.61657209533861,-0.5304584526536817,9.226569712158774,-0.06046443886730498,1.0608941175376732,6.53068710135618,-2.104793203975492,2.2184166748593666,-0.005766301223543763,1597539539.469836,2020-08-15 20:58:59.469836
6.607405721445075,-0.28437662769389704,9.176997239240103,-0.0323747013187284,1.0537812118584844,6.522753054043491,2.138382792446276,-2.228927914899984,-0.3148457121813146,1597539539.505834,2020-08-15 20:58:59.505834
6.607405721445075,-0.28437662769389704,9.176997239240103,-0.0323747013187284,1.0537812118584844,6.522753054043491,2.138382792446276,-2.228927914899984,-0.3148457121813146,1597539539.533863,2020-08-15 20:58:59.533863
6.607405721445075,-0.28437662769389704,9.176997239240103,-0.0323747013187284,1.0537812118584844,6.522753054043491,2.138382792446276,-2.228927914899984,-0.3148457121813146,1597539539.585864,2020-08-15 20:58:59.585864
6.607405721445075,-0.28437662769389704,9.176997239240103,-0.0323747013187284,1.0537812118584844,6.522753054043491,2.138382792446276,-2.228927914899984,-0.3148457121813146,1597539539.613865,2020-08-15 20:58:59.613865
6.630924440213368,-0.2994100764735353,9.189175075834944,-0.03420631344017126,1.0589233872472446,6.545736789688433,-2.2083384472319967,2.305091015259601,0.26985096564634187,1597539539.653833,2020-08-15 20:58:59.653833
6.630924440213368,-0.2994100764735353,9.189175075834944,-0.03420631344017126,1.0589233872472446,6.545736789688433,-2.2083384472319967,2.305091015259601,0.26985096564634187,1597539539.677867,2020-08-15 20:58:59.677867
